City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,mizdah,31.4451,12.9801,293.47,25,42,2.58,LY,1670343351
78,hambantota,6.1241,81.1185,298.87,79,100,1.38,LK,1670343351
79,ballina,-28.8667,153.5667,292.6,96,88,4.05,AU,1670343352
80,xichang,27.8964,102.2634,280.9,70,0,1.07,CN,1670343352
81,victoria,22.2855,114.1577,291.11,78,13,4.47,HK,1670343270
82,vanimo,-2.6741,141.3028,298.16,85,100,0.73,PG,1670343352
83,chapais,49.7834,-74.8492,271.03,97,100,3.03,CA,1670343353
84,nara,34.6851,135.8049,279.54,39,3,3.47,JP,1670343228
85,albany,42.6001,-73.9662,282.38,84,100,0.89,US,1670343216
86,ruteng,-8.6136,120.4721,289.54,89,92,0.32,ID,1670343354
87,rio gallegos,-51.6226,-69.2181,280.18,57,40,13.89,AR,1670343354
88,ribeira grande,38.5167,-28.7,289.37,72,40,6.71,PT,1670343354
89,abu dhabi,24.4667,54.3667,299.16,71,0,2.57,AE,1670343103
90,vila franca do campo,37.7167,-25.4333,291.04,81,76,7.74,PT,1670343355
91,aleksandrovsk-sakhalinskiy,50.8975,142.1561,263.79,88,100,6.05,RU,1670343355
92,punta arenas,-53.15,-70.9167,282.21,40,20,12.86,CL,1670343356
93,san pedro necta,15.5,-91.7667,293.56,40,5,0.45,GT,1670343356
94,belaya gora,68.5333,146.4167,229.53,95,26,1.22,RU,1670343356
95,plettenberg bay,-34.0527,23.3716,292.0,69,0,4.11,ZA,1670343357
96,puerto ayora,-0.7393,-90.3518,296.13,83,95,3.13,EC,1670343357
97,tasiilaq,65.6145,-37.6368,270.24,66,35,3.78,GL,1670343358
98,botou,38.0667,116.5667,272.86,34,0,2.81,CN,1670343358
99,kloulklubed,7.0419,134.2556,297.43,77,100,4.68,PW,1670343358
100,kapaa,22.0752,-159.319,298.33,95,40,5.14,US,1670343359
101,kavaratti,10.5669,72.642,300.9,68,55,1.02,IN,1670343359
102,varna,43.2167,27.9167,282.28,100,100,3.09,BG,1670343079
103,kemijarvi,66.7131,27.4306,270.58,96,100,2.69,FI,1670343360
104,lavrentiya,65.5833,-171.0,266.26,95,77,0.91,RU,1670343360
105,yumen,40.2833,97.2,262.98,89,56,1.89,CN,1670343361
106,mumbwa,-14.9783,27.0619,300.12,43,80,1.13,ZM,1670343361
107,castro,-24.7911,-50.0119,298.02,72,49,4.32,BR,1670343362
108,west des moines,41.572,-93.7453,273.2,68,75,3.09,US,1670343362
109,carnarvon,-24.8667,113.6333,294.24,79,5,7.25,AU,1670343363
110,port lincoln,-34.7333,135.8667,287.83,77,52,6.76,AU,1670343363
111,faanui,-16.4833,-151.75,299.35,77,19,7.86,PF,1670343365
112,lompoc,34.6391,-120.4579,282.92,96,40,3.6,US,1670343092
113,lokoja,7.8024,6.743,309.24,15,87,1.7,NG,1670343366
114,ocampo,21.65,-101.5,290.8,25,0,0.62,MX,1670343366
115,yoichi,43.2039,140.7703,274.71,69,83,5.54,JP,1670343367
116,kununurra,-15.7667,128.7333,300.14,94,75,2.57,AU,1670343305
117,mbandaka,0.0487,18.2603,299.23,73,89,1.45,CD,1670343368
118,lososina,48.9975,140.3106,262.21,65,76,2.14,RU,1670343370
